PatrolBeatKey,PatrolBeat,PoliceZone
0,509,5
1,401,4
2,301,3
3,307,3
4,604,6
5,205,2
6,410,4
7,201,2
8,602,6
9,109,1
10,210,2
11,211,2
12,508,5
13,303,3
14,308,3
15,605,6
16,609,6
17,212,2
18,207,2
19,507,5
20,505,5
21,101,1
22,305,3
23,607,6
24,603,6
25,409,4
26,611,6
27,404,4
28,111,1
29,412,4
30,208,2
31,104,1
32,108,1
33,601,6
34,106,1
35,612,6
36,501,5
37,511,5
38,503,5
39,213,2
40,406,4
41,110,1
42,312,3
43,204,2
44,510,5
45,402,4
46,206,2
47,302,3
48,304,3
49,105,1
50,102,1
51,414,4
52,114,1
53,103,1
54,512,5
55,112,1
56,403,4
57,502,5
58,306,3
59,310,3
60,408,4
61,504,5
62,203,2
63,413,4
64,608,6
65,606,6
66,113,1
67,506,5
68,411,4
69,610,6
70,313,3
71,309,3
72,407,4
73,311,3
74,405,4
75,209,2
76,107,1
77,202,2
78,706,Airport
79,702,Airport
